academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GSEBC,SEBC,GENERAL,STATE,I,,3675,,88.37,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,1,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,7341,,85.13,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,1,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,,STATE,GOBC,OBC,GENERAL,STATE,I,,1047,,92.15,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,1,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,LSC,SC,LADIES,STATE,I,,6068,,86.13,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,2,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GNTA,NTA,GENERAL,STATE,I,,4910,,87.16,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,2,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GSEBC,SEBC,GENERAL,STATE,I,,3289,,88.79,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,2,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,LOPEN,OPEN,LADIES,STATE,I,,4367,,87.67,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,2,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,LST,ST,LADIES,STATE,I,,23520,,75.72,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,2,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,9500,,83.61,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,2,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,LSEBC,SEBC,LADIES,STATE,I,,10493,,83.00,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,3,pdfplumber_text,false,false,
2024-25,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,GST,ST,GENERAL,STATE,VII,,2124,,90.22,DSE_CAP_ROUND_II_CUTOFF_2024_25.pdf,3,pdfplumber_text,false,false,
