academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,vacant_seats,lateral_entry_seats,pwd_seats,defence_seats,category_seats,source_file,source_page,needs_review,review_reason
2025-26,DSE,01005,"Sant Gadge Baba Amravati University,Amravati",University Department,University Department,false,7,0100552710,Petro Chemical Engineering,,6,0,,,0,1,,,3,2,0,0,"{""OPEN"":{""general"":2,""ladies"":0},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":0,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,6,false,
2025-26,DSE,01012,"Government College of Engineering,Yavatmal",Government,Government,false,24,0101219110,Civil Engineering,,19,0,,,0,5,,,11,6,2,2,"{""OPEN"":{""general"":4,""ladies"":3},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":1},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":3,""ladies"":0},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,7,false,
2025-26,DSE,01012,"Government College of Engineering,Yavatmal",Government,Government,false,12,0101224510,Computer Engineering,,9,0,,,0,3,,,1,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":1,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,7,false,
2025-26,DSE,01012,"Government College of Engineering,Yavatmal",Government,Government,false,22,0101229310,Electrical Engineering,,18,0,,,0,4,,,10,6,2,2,"{""OPEN"":{""general"":5,""ladies"":2},""SC"":{""general"":2,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":1,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,7,false,
2025-26,DSE,01012,"Government College of Engineering,Yavatmal",Government,Government,false,13,0101237210,Electronics and Telecommunication Engg,,10,0,,,0,3,,,2,6,0,0,"{""OPEN"":{""general"":3,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,8,false,
2025-26,DSE,01012,"Government College of Engineering,Yavatmal",Government,Government,false,42,0101261210,Mechanical Engineering,,36,0,,,0,6,,,28,6,4,4,"{""OPEN"":{""general"":8,""ladies"":4},""SC"":{""general"":3,""ladies"":2},""ST"":{""general"":2,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":1},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":1},""OBC"":{""general"":5,""ladies"":2},""SEBC"":{""general"":2,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,8,false,
2025-26,DSE,01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,Un-Aided,false,9,0110124210,Computer Science and Engineering,,8,0,,,0,1,,,0,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":1,""ladies"":0},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,9,false,
2025-26,DSE,01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,Un-Aided,false,10,0110124610,Information Technology,,8,0,,,0,2,,,0,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":0,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,9,false,
2025-26,DSE,01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,Un-Aided,false,14,0110135610,Electrical Engg[Electronics and Power],,12,0,,,0,2,,,4,6,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,9,false,
2025-26,DSE,01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,Un-Aided,false,20,0110137210,Electronics and Telecommunication Engg,,17,0,,,0,3,,,2,12,2,2,"{""OPEN"":{""general"":4,""ladies"":2},""SC"":{""general"":2,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":1},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,10,false,
2025-26,DSE,01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided,Un-Aided,false,11,0110161210,Mechanical Engineering,,10,0,,,0,1,,,2,6,0,0,"{""OPEN"":{""general"":3,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,10,false,
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,29,0110519110,Civil Engineering,,18,0,,,0,11,,,3,12,2,2,"{""OPEN"":{""general"":5,""ladies"":2},""SC"":{""general"":1,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":1},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,11,false,
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,25,0110524210,Computer Science and Engineering,,23,0,,,0,2,,,0,18,2,2,"{""OPEN"":{""general"":6,""ladies"":2},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":1,""ladies"":0},""OBC"":{""general"":2,""ladies"":2},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,11,false,
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,17,0110524610,Information Technology,,15,0,,,0,2,,,0,12,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":1},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,11,false,
