academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,15478,,93.8565297,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,46522,,80.2375547,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,32457,,86.6965956,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,35489,,85.3410413,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,42189,,82.2515860,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,31086,,87.2266503,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,4901,,98.0865899,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,53374,,76.9213416,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LNT3S,NT3,LADIES,STATE,II,,99133,,49.4761567,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I-Non,,15462,,93.8565297,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GSTS,ST,GENERAL,STATE,VII,,17374,,93.0962600,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LSTS,ST,LADIES,STATE,VII,,16099,,93.5868331,FE_2023_CAP3_MH.pdf,84,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LOPENS,OPEN,LADIES,STATE,I,,24131,,90.1850615,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LOBCS,OBC,LADIES,STATE,I,,35526,,85.3410413,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I-Non,,26179,,89.3951296,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LSTS,ST,LADIES,STATE,VII,,26838,,88.9909977,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LOPENS,OPEN,LADIES,STATE,I,,33919,,86.0392540,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LSCS,SC,LADIES,STATE,I,,44864,,81.0174211,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LVJS,VJ,LADIES,STATE,I,,49092,,79.3939394,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LNT2S,NT2,LADIES,STATE,I,,78275,,63.6910141,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LNT3S,NT3,LADIES,STATE,I,,57061,,75.1687111,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LOBCS,OBC,LADIES,STATE,I,,41965,,82.3107244,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I-Non,,35012,,85.4445126,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,LSTS,ST,LADIES,STATE,VII,,35990,,85.1782223,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524650F,Information Technology,University Managed (Un-Aided),,STATE,ORPHAN,ORPHAN,SPECIAL,STATE,VII,,34511,,85.8062103,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303525450F,Computer Science and Technology,University Managed (Un-Aided),,STATE,LOPENS,OPEN,LADIES,STATE,I,,37869,,84.2884307,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303525450F,Computer Science and Technology,University Managed (Un-Aided),,STATE,LNT2S,NT2,LADIES,STATE,I,,99832,,49.0455617,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
2023-24,FE,3,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303525450F,Computer Science and Technology,University Managed (Un-Aided),,STATE,LNT3S,NT3,LADIES,STATE,I,,113851,,36.6068088,FE_2023_CAP3_MH.pdf,178,pdfplumber_table_review,true,false,
