academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GOPENS,OPEN,GENERAL,STATE,I,,16962,,94.3462898,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GSCS,SC,GENERAL,STATE,I,,29425,,90.0772352,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GSTS,ST,GENERAL,STATE,I,,126398,,47.4207012,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GNT1S,NT1,GENERAL,STATE,I,,29988,,89.8898358,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GNT2S,NT2,GENERAL,STATE,I,,17585,,94.1630610,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GOBCS,OBC,GENERAL,STATE,I,,25332,,91.5509861,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,34758,,88.1886477,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,LOPENS,OPEN,LADIES,STATE,I,,15461,,94.8378933,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,LSCS,SC,LADIES,STATE,I,,51214,,82.2448555,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,LNT3S,NT3,LADIES,STATE,I,,146436,,33.5585964,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,LOBCS,OBC,LADIES,STATE,I,,35661,,88.0156813,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,LSEBCS,SEBC,LADIES,STATE,I,,47060,,83.7447544,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,51579,,82.1766955,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,TFWS,TFWS,SPECIAL,STATE,I,,13800,,95.4078524,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
2024-25,FE,1,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,Deemed to be University,STATE,DEFROBCS,OBC,SPECIAL,STATE,I,,108782,,57.2163252,FE_2024_CAP1_MH.pdf,107,pdfplumber_table_review,true,false,
