academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2024-25,FE,01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Un-Aided Autonomous,Un-Aided,true,48,0111461210,Mechanical Engineering,60,39,0,9,12,0,6,0111461211,3,FE_2024_SeatMatrix.pdf,27,false,
2024-25,FE,01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Un-Aided Autonomous,Un-Aided,true,28,0112719110,Civil Engineering,30,23,0,5,2,0,3,0112719111,2,FE_2024_SeatMatrix.pdf,28,false,
2024-25,FE,01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Un-Aided Autonomous,Un-Aided,true,102,0112724510,Computer Engineering,120,84,0,18,18,1,12,0112724511,6,FE_2024_SeatMatrix.pdf,29,false,
2024-25,FE,01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Un-Aided Autonomous,Un-Aided,true,60,0112729310,Electrical Engineering,60,51,0,9,0,1,6,0112729311,3,FE_2024_SeatMatrix.pdf,30,false,
2024-25,FE,01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Un-Aided Autonomous,Un-Aided,true,57,0112737210,Electronics and Telecommunication Engg,60,48,0,9,3,0,6,0112737211,3,FE_2024_SeatMatrix.pdf,31,false,
2024-25,FE,01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Un-Aided Autonomous,Un-Aided,true,60,0112761210,Mechanical Engineering,60,51,0,9,0,1,6,0112761211,3,FE_2024_SeatMatrix.pdf,32,false,
2024-25,FE,02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous,Government,true,60,0200819110,Civil Engineering,60,60,0,0,0,1,6,0200819111,3,FE_2024_SeatMatrix.pdf,33,false,
2024-25,FE,02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous,Government,true,60,0200824210,Computer Science and Engineering,60,60,0,0,0,1,6,0200824211,3,FE_2024_SeatMatrix.pdf,34,false,
2024-25,FE,02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous,Government,true,60,0200824610,Information Technology,60,60,0,0,0,1,6,0200824611,3,FE_2024_SeatMatrix.pdf,35,false,
2024-25,FE,02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous,Government,true,60,0200829310,Electrical Engineering,60,60,0,0,0,1,6,0200829311,3,FE_2024_SeatMatrix.pdf,36,false,
2024-25,FE,02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous,Government,true,60,0200837210,Electronics and Telecommunication Engg,60,60,0,0,0,1,6,0200837211,3,FE_2024_SeatMatrix.pdf,37,false,
2024-25,FE,02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous,Government,true,60,0200861210,Mechanical Engineering,60,60,0,0,0,1,6,0200861211,3,FE_2024_SeatMatrix.pdf,38,false,
