academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,39713,,88.2484746,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,41066,,87.9159305,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,49772,,85.1139120,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,44576,,86.6827486,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,70376,,78.4342571,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,34638,,89.8391608,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,LVJS,VJ,LADIES,STATE,I,,52805,,84.1131441,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,36248,,89.2945239,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,LSEBCS,SEBC,LADIES,STATE,I,,90850,,71.1730870,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,43095,,87.2335313,FE_2025_CAP2_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
