academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,45820,,80.7328826,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,54803,,76.6166542,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GSTS,ST,GENERAL,STATE,I,,85528,,58.7429854,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,53198,,76.9213416,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GNT1S,NT1,GENERAL,STATE,I,,55202,,76.2843676,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,47207,,79.8081214,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GNT3S,NT3,GENERAL,STATE,I,,58799,,74.1935484,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,55212,,76.2843676,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,39555,,83.4053417,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,58069,,75.0737739,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LSTS,ST,LADIES,STATE,I,,81275,,61.4332053,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LVJS,VJ,LADIES,STATE,I,,55889,,75.8673530,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LNT1S,NT1,LADIES,STATE,I,,71604,,67.3938217,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LNT2S,NT2,LADIES,STATE,I,,59895,,73.6426530,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LNT3S,NT3,LADIES,STATE,I,,85506,,58.7429854,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,50933,,78.3308876,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,66222,,70.5106049,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,114710,,36.1619626,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,25437,,89.6901790,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100219110,Civil Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,51497,,78.0675570,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,6839,,97.3642653,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,14995,,94.0441452,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GSTS,ST,GENERAL,STATE,I,,42063,,82.3107244,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,10351,,95.9541871,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GNT1S,NT1,GENERAL,STATE,I,,13430,,94.6808113,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,10052,,96.0633178,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GNT3S,NT3,GENERAL,STATE,I,,15513,,93.8260094,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,7626,,97.0482604,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,7359,,97.1523959,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,18093,,92.7333060,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,LSTS,ST,LADIES,STATE,I,,46043,,80.6210251,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,8159,,96.8581856,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,41373,,82.4643661,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,14766,,94.1664477,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,6790,,97.3792778,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,PWDROBC,OBC,SPECIAL,UNKNOWN,I,,45737,,80.8641005,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,DEFROBCS,OBC,SPECIAL,STATE,I,,16792,,93.2969235,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,10297,,95.9738402,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,10303,,95.9738402,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,18667,,92.4862529,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GSTS,ST,GENERAL,STATE,I,,43516,,81.8534982,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,23597,,90.4575998,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GNT1S,NT1,GENERAL,STATE,I,,16268,,93.5213570,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,12552,,95.0744473,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GNT3S,NT3,GENERAL,STATE,I,,16999,,93.2108027,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,11044,,95.6795422,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,9567,,96.2787373,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,21001,,91.4895289,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,LSTS,ST,LADIES,STATE,I,,55122,,76.2843676,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,LNT1S,NT1,LADIES,STATE,I,,16115,,93.5868331,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,LNT2S,NT2,LADIES,STATE,I,,12233,,95.2175544,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,10354,,95.9541871,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,66253,,70.5106049,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,30013,,87.6984872,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,9138,,96.4414768,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,PWDRSCS,SC,SPECIAL,STATE,I,,71173,,67.7119280,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,DEFROBCS,OBC,SPECIAL,STATE,I,,30456,,87.4817577,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,12526,,95.0827713,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,31193,,87.2113119,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,45777,,80.7328826,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GSTS,ST,GENERAL,STATE,I,,92626,,54.0043616,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,39357,,83.4300164,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GNT1S,NT1,GENERAL,STATE,I,,42146,,82.2515860,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,47720,,79.7807688,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,34759,,85.4752553,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,26636,,89.1600241,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,34812,,85.4752553,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,LSTS,ST,LADIES,STATE,I,,121868,,29.2444305,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,LVJS,VJ,LADIES,STATE,I,,32994,,86.3550668,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,LNT3S,NT3,LADIES,STATE,I,,87211,,58.0840122,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,31414,,87.0556299,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,92685,,54.0043616,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,24140,,90.1850615,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2023-24,FE,1,MH,1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,37774,,84.2884307,FE_2023_CAP1_MH.pdf,1,pdfplumber_text,false,false,
