academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,100219110,Civil Engineering,60,60,0,0,0,1,6,100219111T,3,FE_2023_SeatMatrix.pdf,1,false,
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,100224210,Computer Science and Engineering,60,60,0,0,0,1,6,100224211T,3,FE_2023_SeatMatrix.pdf,2,false,
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,100224610,Information Technology,60,60,0,0,0,1,6,100224611T,3,FE_2023_SeatMatrix.pdf,3,false,
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,100229310,Electrical Engineering,60,60,0,0,0,1,6,100229311T,3,FE_2023_SeatMatrix.pdf,4,false,
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,6,100237211T,3,FE_2023_SeatMatrix.pdf,5,false,
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,30,100246610,Instrumentation Engineering,30,30,0,0,0,0,3,100246611T,2,FE_2023_SeatMatrix.pdf,6,false,
2023-24,FE,1002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,100261210,Mechanical Engineering,60,60,0,0,0,1,6,100261211T,3,FE_2023_SeatMatrix.pdf,7,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,117,110519110,Civil Engineering,120,99,0,18,3,1,12,110519111T,6,FE_2023_SeatMatrix.pdf,8,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,144,110524210,Computer Science and Engineering,180,117,0,27,36,1,18,110524211T,9,FE_2023_SeatMatrix.pdf,9,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,96,110524610,Information Technology,120,78,0,18,24,1,12,110524611T,6,FE_2023_SeatMatrix.pdf,10,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,48,110526310,Artificial Intelligence (AI) and Data Science,60,39,0,9,12,0,6,110526311T,3,FE_2023_SeatMatrix.pdf,11,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,48,110526510,Industrial IoT,60,39,0,9,12,0,6,110526511T,3,FE_2023_SeatMatrix.pdf,12,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,96,110537210,Electronics and Telecommunication Engg,120,78,0,18,24,1,12,110537211T,6,FE_2023_SeatMatrix.pdf,13,false,
2023-24,FE,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,120,110561210,Mechanical Engineering,120,102,0,18,0,1,12,110561211T,6,FE_2023_SeatMatrix.pdf,14,false,
2023-24,FE,2008,"Government College of Engineering, Aurangabad",Government Autonomous,Government,true,60,200819110,Civil Engineering,60,60,0,0,0,1,6,200819111T,3,FE_2023_SeatMatrix.pdf,15,false,
2023-24,FE,2008,"Government College of Engineering, Aurangabad",Government Autonomous,Government,true,60,200824210,Computer Science and Engineering,60,60,0,0,0,1,6,200824211T,3,FE_2023_SeatMatrix.pdf,16,false,
2023-24,FE,2008,"Government College of Engineering, Aurangabad",Government Autonomous,Government,true,60,200824610,Information Technology,60,60,0,0,0,1,6,200824611T,3,FE_2023_SeatMatrix.pdf,17,false,
2023-24,FE,2008,"Government College of Engineering, Aurangabad",Government Autonomous,Government,true,60,200829310,Electrical Engineering,60,60,0,0,0,1,6,200829311T,3,FE_2023_SeatMatrix.pdf,18,false,
2023-24,FE,2008,"Government College of Engineering, Aurangabad",Government Autonomous,Government,true,60,200837210,Electronics and Telecommunication Engg,60,60,0,0,0,1,6,200837211T,3,FE_2023_SeatMatrix.pdf,19,false,
2023-24,FE,2008,"Government College of Engineering, Aurangabad",Government Autonomous,Government,true,60,200861210,Mechanical Engineering,60,60,0,0,0,1,6,200861211T,3,FE_2023_SeatMatrix.pdf,20,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,202019110,Civil Engineering,60,58,0,0,2,1,6,202019111T,3,FE_2023_SeatMatrix.pdf,21,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,118,202024210,Computer Science and Engineering,120,118,0,0,2,1,12,202024211T,6,FE_2023_SeatMatrix.pdf,22,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,202024610,Information Technology,60,58,0,0,2,1,6,202024611T,3,FE_2023_SeatMatrix.pdf,23,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,28,202029310,Electrical Engineering,30,28,0,0,2,0,3,202029311T,2,FE_2023_SeatMatrix.pdf,24,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,118,202037210,Electronics and Telecommunication Engg,120,118,0,0,2,1,12,202037211T,6,FE_2023_SeatMatrix.pdf,25,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,38,202046610,Instrumentation Engineering,40,38,0,0,2,0,4,202046611T,2,FE_2023_SeatMatrix.pdf,26,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,28,202050710,Chemical Engineering,30,28,0,0,2,0,3,202050711T,2,FE_2023_SeatMatrix.pdf,27,false,
