academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,202060610,Production Engineering,60,58,0,0,2,1,6,202060611T,3,FE_2023_SeatMatrix.pdf,28,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,202061210,Mechanical Engineering,60,58,0,0,2,1,6,202061211T,3,FE_2023_SeatMatrix.pdf,29,false,
2023-24,FE,2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,28,202089610,Textile Technology,30,28,0,0,2,0,3,202089611T,2,FE_2023_SeatMatrix.pdf,30,false,
2023-24,FE,2032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",University Managed Autonomous,University Managed,true,60,203290410,Chemical Engineering,60,42,0,18,0,0,6,203290411T,3,FE_2023_SeatMatrix.pdf,31,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,30,211301110,Agricultural Engineering,30,25,0,5,0,0,3,,0,FE_2023_SeatMatrix.pdf,32,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,180,211319110,Civil Engineering,180,153,0,27,0,2,18,,0,FE_2023_SeatMatrix.pdf,33,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,192,211324210,Computer Science and Engineering,240,156,0,36,48,2,24,211324211T,12,FE_2023_SeatMatrix.pdf,34,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,211325710,Computer Science and Design,120,102,0,18,0,1,12,211325711T,6,FE_2023_SeatMatrix.pdf,35,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,96,211326310,Artificial Intelligence (AI) and Data Science,120,78,0,18,24,1,12,211326311T,6,FE_2023_SeatMatrix.pdf,36,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,211329310,Electrical Engineering,120,102,0,18,0,1,12,211329311T,6,FE_2023_SeatMatrix.pdf,37,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,60,211350110,Plastic and Polymer Engineering,60,51,0,9,0,1,6,,0,FE_2023_SeatMatrix.pdf,38,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,211361210,Mechanical Engineering,120,102,0,18,0,1,12,211361211T,6,FE_2023_SeatMatrix.pdf,39,false,
2023-24,FE,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,120,211384410,Electronics and Computer Engineering,120,102,0,18,0,1,12,211384411T,6,FE_2023_SeatMatrix.pdf,40,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301219110,Civil Engineering,60,60,0,0,0,1,6,301219111T,3,FE_2023_SeatMatrix.pdf,41,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301224510,Computer Engineering,60,60,0,0,0,1,6,301224511T,3,FE_2023_SeatMatrix.pdf,42,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301224610,Information Technology,60,60,0,0,0,1,6,301224611T,3,FE_2023_SeatMatrix.pdf,43,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301229310,Electrical Engineering,60,60,0,0,0,1,6,301229311T,3,FE_2023_SeatMatrix.pdf,44,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,6,301237211T,3,FE_2023_SeatMatrix.pdf,45,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301237610,Electronics Engineering,60,60,0,0,0,1,6,301237611T,3,FE_2023_SeatMatrix.pdf,46,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301261210,Mechanical Engineering,60,60,0,0,0,1,6,301261211T,3,FE_2023_SeatMatrix.pdf,47,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301262610,Production Engineering[Sandwich],60,60,0,0,0,1,6,301262611T,3,FE_2023_SeatMatrix.pdf,48,false,
2023-24,FE,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Government-Aided Autonomous,Government-Aided,true,60,301289610,Textile Technology,60,60,0,0,0,1,6,301289611T,3,FE_2023_SeatMatrix.pdf,49,false,
2023-24,FE,3014,"Sardar Patel College of Engineering, Andheri",Government-Aided Autonomous,Government-Aided,true,60,301419110,Civil Engineering,60,60,0,0,0,1,6,301419111T,3,FE_2023_SeatMatrix.pdf,50,false,
2023-24,FE,3014,"Sardar Patel College of Engineering, Andheri",Government-Aided Autonomous,Government-Aided,true,60,301429310,Electrical Engineering,60,60,0,0,0,1,6,301429311T,3,FE_2023_SeatMatrix.pdf,51,false,
2023-24,FE,3014,"Sardar Patel College of Engineering, Andheri",Government-Aided Autonomous,Government-Aided,true,60,301461210,Mechanical Engineering,60,60,0,0,0,1,6,301461211T,3,FE_2023_SeatMatrix.pdf,52,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,75,303650710,Chemical Engineering,75,52,0,23,0,1,8,303650711T,4,FE_2023_SeatMatrix.pdf,53,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,18,303651110,Dyestuff Technology,18,13,0,5,0,0,2,303651111T,1,FE_2023_SeatMatrix.pdf,54,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,303651210,"Oil,Oleochemicals and Surfactants Technology",16,11,0,5,0,0,2,303651211T,1,FE_2023_SeatMatrix.pdf,55,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,18,303651310,Pharmaceuticals Chemistry and Technology,18,13,0,5,0,0,2,303651311T,1,FE_2023_SeatMatrix.pdf,56,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,34,303651410,Fibres and Textile Processing Technology,34,24,0,10,0,0,3,303651411T,2,FE_2023_SeatMatrix.pdf,57,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,303651910,Polymer Engineering and Technology,16,11,0,5,0,0,2,303651911T,1,FE_2023_SeatMatrix.pdf,58,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,303653410,Food Engineering and Technology,16,11,0,5,0,0,2,303653411T,1,FE_2023_SeatMatrix.pdf,59,false,
2023-24,FE,3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed University Autonomous,Deemed University,true,16,303672910,Surface Coating Technology,16,11,0,5,0,0,2,303672911T,1,FE_2023_SeatMatrix.pdf,60,false,
2023-24,FE,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,144,313924510,Computer Engineering,180,117,0,27,36,1,18,313924511T,9,FE_2023_SeatMatrix.pdf,61,false,
2023-24,FE,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,144,313924610,Information Technology,180,117,0,27,36,1,18,313924611T,9,FE_2023_SeatMatrix.pdf,62,false,
2023-24,FE,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,96,313937210,Electronics and Telecommunication Engg,120,78,0,18,24,1,12,313937211T,6,FE_2023_SeatMatrix.pdf,63,false,
2023-24,FE,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,48,313946110,Bio Medical Engineering,60,39,0,9,12,0,6,313946111T,3,FE_2023_SeatMatrix.pdf,64,false,
2023-24,FE,3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Un-Aided Autonomous,Un-Aided,true,96,313990010,Electronics and Computer Science,120,78,0,18,24,1,12,313990011T,6,FE_2023_SeatMatrix.pdf,65,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,24,317625310,Internet of Things (IoT),30,8,15,1,6,0,0,317625311T,2,FE_2023_SeatMatrix.pdf,66,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,317692110,Artificial Intelligence and Machine Learning,60,14,31,3,12,0,0,317692111T,3,FE_2023_SeatMatrix.pdf,67,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,96,317699510,Artificial Intelligence and Data Science,120,30,61,5,24,0,0,317699511T,6,FE_2023_SeatMatrix.pdf,68,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,317619110,Civil Engineering,60,14,31,3,12,0,0,317619111T,3,FE_2023_SeatMatrix.pdf,69,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,144,317624510,Computer Engineering,180,44,92,8,36,0,0,317624511T,9,FE_2023_SeatMatrix.pdf,70,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,144,317624610,Information Technology,180,44,92,8,36,0,0,317624611T,9,FE_2023_SeatMatrix.pdf,71,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,317625910,Mechanical and Mechatronics Engineering (Additive,60,14,31,3,12,0,0,317625911T,3,FE_2023_SeatMatrix.pdf,72,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,96,317637210,Electronics and Telecommunication Engg,120,30,61,5,24,0,0,317637211T,6,FE_2023_SeatMatrix.pdf,73,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,317661210,Mechanical Engineering,60,14,31,3,12,0,0,317661211T,3,FE_2023_SeatMatrix.pdf,74,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,317690010,Electronics and Computer Science,60,14,31,3,12,0,0,317690011T,3,FE_2023_SeatMatrix.pdf,75,false,
2023-24,FE,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,48,317691010,Computer Science and Engineering(Cyber Security),60,14,31,3,12,0,0,317691011T,3,FE_2023_SeatMatrix.pdf,76,false,
2023-24,FE,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Un-Aided Autonomous Linguistic Minority - Sindhi,Un-Aided  Linguistic Minority - Sindhi,true,180,318524510,Computer Engineering,180,75,92,13,0,0,0,318524511T,9,FE_2023_SeatMatrix.pdf,77,false,
2023-24,FE,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Un-Aided Autonomous Linguistic Minority - Sindhi,Un-Aided  Linguistic Minority - Sindhi,true,180,318524610,Information Technology,180,75,92,13,0,0,0,318524611T,9,FE_2023_SeatMatrix.pdf,78,false,
2023-24,FE,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Un-Aided Autonomous Linguistic Minority - Sindhi,Un-Aided  Linguistic Minority - Sindhi,true,120,318537210,Electronics and Telecommunication Engg,120,50,61,9,0,0,0,318537211T,6,FE_2023_SeatMatrix.pdf,79,false,
2023-24,FE,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Un-Aided Autonomous Linguistic Minority - Sindhi,Un-Aided  Linguistic Minority - Sindhi,true,60,318590010,Electronics and Computer Science,60,25,31,4,0,0,0,318590011T,3,FE_2023_SeatMatrix.pdf,80,false,
2023-24,FE,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Un-Aided Autonomous Linguistic Minority - Sindhi,Un-Aided  Linguistic Minority - Sindhi,true,60,318591610,Automation and Robotics,60,25,31,4,0,0,0,318591611T,3,FE_2023_SeatMatrix.pdf,81,false,
2023-24,FE,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Un-Aided Autonomous Linguistic Minority - Sindhi,Un-Aided  Linguistic Minority - Sindhi,true,120,318599510,Artificial Intelligence and Data Science,120,50,61,9,0,0,0,318599511T,6,FE_2023_SeatMatrix.pdf,82,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,144,319924510,Computer Engineering,180,44,92,8,36,0,0,319924511T,9,FE_2023_SeatMatrix.pdf,83,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,144,319924610,Information Technology,180,44,92,8,36,0,0,319924611T,9,FE_2023_SeatMatrix.pdf,84,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,48,319926310,Artificial Intelligence (AI) and Data Science,60,14,31,3,12,0,0,319926311T,3,FE_2023_SeatMatrix.pdf,85,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,144,319937210,Electronics and Telecommunication Engg,180,44,92,8,36,0,0,319937211T,9,FE_2023_SeatMatrix.pdf,86,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,144,319961210,Mechanical Engineering,180,44,92,8,36,0,0,319961211T,9,FE_2023_SeatMatrix.pdf,87,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,96,319991210,Computer Science and Engineering(Data Science),120,30,61,5,24,0,0,319991211T,6,FE_2023_SeatMatrix.pdf,88,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,48,319992010,Computer Science and Engineering (Internet of,60,14,31,3,12,0,0,319992011T,3,FE_2023_SeatMatrix.pdf,89,false,
2023-24,FE,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,48,319992110,Artificial Intelligence and Machine Learning,60,14,31,3,12,0,0,319992111T,3,FE_2023_SeatMatrix.pdf,90,false,
2023-24,FE,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Un-Aided Autonomous Linguistic Minority - Malyalam,Un-Aided  Linguistic Minority - Malyalam,true,144,320724510,Computer Engineering,180,44,92,8,36,0,0,320724511T,9,FE_2023_SeatMatrix.pdf,91,false,
2023-24,FE,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Un-Aided Autonomous Linguistic Minority - Malyalam,Un-Aided  Linguistic Minority - Malyalam,true,96,320724610,Information Technology,120,30,61,5,24,0,0,320724611T,6,FE_2023_SeatMatrix.pdf,92,false,
2023-24,FE,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Un-Aided Autonomous Linguistic Minority - Malyalam,Un-Aided  Linguistic Minority - Malyalam,true,96,320737210,Electronics and Telecommunication Engg,120,30,61,5,24,0,0,320737211T,6,FE_2023_SeatMatrix.pdf,93,false,
2023-24,FE,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Un-Aided Autonomous Linguistic Minority - Malyalam,Un-Aided  Linguistic Minority - Malyalam,true,48,320760210,Automobile Engineering,60,14,31,3,12,0,0,320760211T,3,FE_2023_SeatMatrix.pdf,94,false,
2023-24,FE,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Un-Aided Autonomous Linguistic Minority - Malyalam,Un-Aided  Linguistic Minority - Malyalam,true,48,320761210,Mechanical Engineering,60,14,31,3,12,0,0,320761211T,3,FE_2023_SeatMatrix.pdf,95,false,
2023-24,FE,3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Un-Aided Autonomous Linguistic Minority - Malyalam,Un-Aided  Linguistic Minority - Malyalam,true,72,320790010,Electronics and Computer Science,90,22,46,4,18,0,0,320790011T,5,FE_2023_SeatMatrix.pdf,96,false,
2023-24,FE,3209,K J Somaiya Institute of Technology,Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,120,320924510,Computer Engineering,120,50,61,9,0,0,0,320924511T,6,FE_2023_SeatMatrix.pdf,97,false,
2023-24,FE,3209,K J Somaiya Institute of Technology,Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,120,320924610,Information Technology,120,50,61,9,0,0,0,320924611T,6,FE_2023_SeatMatrix.pdf,98,false,
2023-24,FE,3209,K J Somaiya Institute of Technology,Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,120,320937210,Electronics and Telecommunication Engg,120,50,61,9,0,0,0,320937211T,6,FE_2023_SeatMatrix.pdf,99,false,
2023-24,FE,3209,K J Somaiya Institute of Technology,Un-Aided Autonomous Linguistic Minority - Gujarathi,Un-Aided  Linguistic Minority - Gujarathi,true,120,320999510,Artificial Intelligence and Data Science,120,50,61,9,0,0,0,320999511T,6,FE_2023_SeatMatrix.pdf,100,false,
2023-24,FE,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Un-Aided Autonomous,Un-Aided,true,96,321524210,Computer Science and Engineering,120,78,0,18,24,1,12,321524211T,6,FE_2023_SeatMatrix.pdf,101,false,
2023-24,FE,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Un-Aided Autonomous,Un-Aided,true,192,321524510,Computer Engineering,240,156,0,36,48,2,24,321524511T,12,FE_2023_SeatMatrix.pdf,102,false,
2023-24,FE,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",Un-Aided Autonomous,Un-Aided,true,96,321537210,Electronics and Telecommunication Engg,120,78,0,18,24,1,12,321537211T,6,FE_2023_SeatMatrix.pdf,103,false,
2023-24,FE,4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur",Un-Aided Autonomous Linguistic Minority - Hindi,Un-Aided  Linguistic Minority - Hindi,true,60,411519110,Civil Engineering,60,25,31,4,0,0,0,411519111T,3,FE_2023_SeatMatrix.pdf,104,false,
